acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll,times
-2.14,0.43,9.47,0.37,0.19,0.06,7.88,17.19,-41.06,6:49:58
-2.15,0.48,9.52,-0.19,-0.44,-0.06,6.75,17.56,-40.75,6:49:59
-2.14,0.47,9.48,-0.5,-0.12,-0.12,7.5,17.56,-40.75,6:49:59
-2.15,0.45,9.51,-0.44,0.06,-0.12,7.5,17.19,-41.06,6:49:59
-2.16,0.43,9.53,-0.75,0.12,-0.12,7.88,16.75,-41.06,6:49:59
-2.17,0.42,9.52,0,-0.19,0,7.19,17.19,-41.06,6:49:59
-2.11,0.39,9.51,0.06,0.25,0,7.19,17.56,-40.75,6:49:59
-2.15,0.44,9.51,0.37,-0.19,0.19,7.19,16.75,-40.75,6:50:00
-2.13,0.43,9.48,0.81,0.12,0.06,7.5,17.19,-41.88,6:50:00
-2.14,0.41,9.49,0,0.25,-0.06,6.38,17.56,-41.06,6:50:00
-2.13,0.46,9.51,0.44,0.06,0,7.19,16.37,-41.06,6:50:00
-2.14,0.45,9.5,0.31,-0.06,0.06,7.5,17.56,-41.5,6:50:00
-2.15,0.44,9.49,0.06,-0.12,0.06,8.25,17.19,-42.25,6:50:00
-2.17,0.47,9.5,0.56,0.12,0.12,7.88,16.75,-41.06,6:50:01
-2.14,0.43,9.52,0.44,-0.25,0,6.75,17.87,-41.5,6:50:01
-2.17,0.43,9.46,0,0.06,0,6.75,16.75,-42.25,6:50:01
-2.12,0.43,9.49,-0.31,0.12,-0.19,7.5,17.56,-41.88,6:50:01
-2.15,0.41,9.5,-0.31,0.25,-0.12,8.25,16.37,-41.5,6:50:01
-2.12,0.42,9.52,0.37,0.31,0,6.75,17.19,-41.5,6:50:01
-2.14,0.43,9.49,0.56,-0.06,0.12,6.75,17.19,-39.56,6:50:02
-2.13,0.46,9.47,0.25,0.19,0,7.19,17.19,-41.88,6:50:02
-2.13,0.43,9.5,-0.06,-0.19,-0.06,7.19,16.75,-41.5,6:50:02
-2.17,0.45,9.54,-0.5,-0.06,-0.12,7.5,17.19,-41.88,6:50:02
-2.15,0.45,9.52,-0.06,-0.25,0.06,6.75,17.56,-41.88,6:50:02
-2.17,0.43,9.51,0.5,0,0,6.75,16.75,-40,6:50:02
-2.14,0.44,9.47,0.19,0,-0.06,7.5,17.19,-41.88,6:50:02
-2.16,0.47,9.5,0.5,0.06,0.06,7.88,17.56,-41.5,6:50:03
-2.15,0.47,9.48,0.69,0.12,0,7.5,17.19,-42.25,6:50:03
-2.17,0.43,9.45,0.06,0.31,-0.12,7.19,17.56,-41.5,6:50:03
-2.15,0.41,9.5,-0.06,0.12,0,7.5,16.75,-41.5,6:50:03
-2.1,0.42,9.44,0.25,0.25,0.06,7.5,16.37,-43.06,6:50:03
-2.11,0.44,9.47,0.25,0.44,0,8.25,17.19,-41.88,6:50:03
-2.19,0.46,9.52,0.31,0,-0.12,7.5,17.56,-41.06,6:50:04
-2.17,0.41,9.57,0.19,-0.56,-0.19,7.88,17.56,-40.75,6:50:04
-2.08,0.42,9.48,-0.37,1.12,-0.56,7.5,17.56,-41.06,6:50:04
-2.26,0.4,9.41,0.5,1.88,-0.37,7.88,17.19,-40.75,6:50:04
-2.17,0.51,9.35,1.5,1.81,0.12,7.88,17.19,-40.75,6:50:04
-2.29,0.45,9.45,4.31,0.37,0.63,7.88,16.75,-41.06,6:50:04
-2.22,0.58,9.48,7.06,-3.06,2.19,7.19,16.37,-41.06,6:50:05
-2.15,0.48,9.47,0.63,-2.88,2.19,7.5,16.75,-40.38,6:50:05
-2.15,0.57,9.51,-0.69,-3.81,1.37,7.88,16.06,-41.06,6:50:05
-1.91,0.74,9.59,1.5,-5.5,2.56,6.75,16.06,-42.25,6:50:05
-1.73,0.77,9.51,-0.88,-3.19,1.81,6.38,15.25,-41.06,6:50:05
-1.62,0.6,9.63,0.25,1.44,0.63,6.75,15.25,-41.06,6:50:05
-1.85,0.79,9.53,-1.69,0.25,-0.06,5.25,15.25,-41.88,6:50:06
-1.83,0.77,9.52,0.06,-0.81,0.31,6,14.56,-41.5,6:50:06
-1.61,0.81,9.55,-0.75,-1.12,0.44,6.38,16.06,-41.06,6:50:06
-1.77,0.72,9.53,0.63,-1.25,0.37,6.75,14.88,-42.25,6:50:06
-1.67,0.71,9.53,-1.44,-1.81,0.56,6.38,15.25,-40.38,6:50:06
-1.5,0.68,9.6,-3.63,0.37,-1.5,5.69,14.88,-41.06,6:50:06
-1.65,0.75,9.54,-4.31,-0.25,-0.19,6.38,14.88,-40.75,6:50:06
-1.61,0.83,9.54,-3.13,-1.37,-0.44,6.75,14.88,-41.88,6:50:07
-1.59,0.87,9.6,-1.19,-1.25,0.56,6,14.56,-41.88,6:50:07
-1.63,0.92,9.53,-0.31,0.25,-0.56,6.38,14.19,-40.38,6:50:07
-1.66,0.96,9.58,1.75,-0.63,0.63,6.38,15.25,-43.06,6:50:07
-1.59,0.86,9.51,1,-0.31,0.5,7.19,14.56,-41.5,6:50:07
-1.57,0.78,9.53,0.31,0.06,-0.44,6.38,14.88,-41.5,6:50:07
-1.66,0.75,9.52,-1.69,0.06,-0.37,6,14.88,-40.75,6:50:08
-1.55,0.82,9.59,-0.5,0.19,-0.19,6.38,14.88,-42.25,6:50:08
-1.7,0.81,9.53,-0.06,-0.19,0.31,6,14.19,-41.88,6:50:08
-1.67,0.87,9.5,-1.31,-0.19,-0.75,6.38,14.56,-42.25,6:50:08
-1.59,1,9.5,0.81,0.31,0.31,6,14.56,-42.25,6:50:08
-1.66,0.93,9.59,-0.56,-1,0.94,6.38,14.56,-41.06,6:50:08
-1.58,0.84,9.59,-0.19,-1,0.56,5.69,14.88,-41.06,6:50:09
-1.6,0.9,9.76,1.31,0.81,-2.81,6.38,14.56,-41.5,6:50:09
-1.61,0.79,9.53,-3.88,1.63,-1,6.38,14.88,-41.88,6:50:09
-1.57,0.88,9.61,-1.37,2.25,-1.31,7.19,14.56,-41.88,6:50:09
-1.92,0.91,9.55,1.31,-0.75,-1.5,6.75,15.25,-41.06,6:50:09
-1.88,0.91,9.44,-0.25,1.94,-0.25,7.19,14.88,-41.5,6:50:09
-1.77,0.92,9.53,0.56,-1.25,0.63,7.5,14.19,-42.25,6:50:10
-1.68,0.83,9.54,0.69,-0.12,0.19,7.19,14.56,-41.06,6:50:10
-1.84,0.86,9.43,-1,1.19,-0.37,6,14.19,-40.75,6:50:10
-1.82,0.98,9.53,-0.25,0.56,0.06,6.75,15.25,-41.88,6:50:10
-1.83,0.96,9.53,-1.19,0.5,-0.37,6.75,15.25,-43.06,6:50:10
-1.9,0.97,9.48,4.38,0.88,0.56,6.38,14.88,-41.06,6:50:10
-1.88,0.8,9.53,0.06,1.5,0,6.75,14.88,-41.88,6:50:10
-1.87,0.98,9.38,-0.63,0.31,-0.12,6.75,15.25,-41.88,6:50:11
-1.85,0.84,9.47,1.5,-0.25,0.31,6.75,15.69,-40.38,6:50:11
-1.89,1,9.48,5,-1.25,-0.37,7.19,14.56,-40.75,6:50:11
-1.85,0.66,9.7,-3.69,3.31,-1.12,6.75,15.25,-41.06,6:50:11
-1.04,0.65,9.63,10.94,-5.88,-15.69,7.19,14.88,-41.5,6:50:11
-1.15,1.38,9.56,1.94,-11.06,-15.44,4.5,14.19,-43.06,6:50:11
-0.64,1.26,9.35,22.44,-0.56,-48.13,1.19,13.19,-44.25,6:50:12
-1.56,1.18,9.71,11.69,-25.37,-65.06,-2.75,12.19,-45,6:50:12
-1.88,0.8,9.25,17.87,-3.06,-50.63,-7.19,11.75,-46.56,6:50:12
-1.52,1.43,9.45,-4.5,-0.37,-41.88,-8.75,9.25,-47.75,6:50:12
-1.31,1.36,9.05,14,-10.75,-48.25,-10.69,8.38,-47.75,6:50:12
-1.69,1.02,9.2,1.88,7,-46.13,-12.88,6.25,-47.75,6:50:12
-1.89,0.86,9.16,-4.19,2.81,-33.56,-13.69,3.38,-47.75,6:50:13
-2.18,1.05,9.34,-15,-8,-31.19,-13.38,3.06,-47.75,6:50:13
-2.14,1.09,9.51,1.88,4.81,-21.37,-13.75,3.06,-48.88,6:50:13
-1.88,1.7,9.66,24.81,0.56,-19.69,-13.75,0.88,-48.5,6:50:13
-2.74,0.93,9.02,16.56,8.94,0.12,-13.75,-2.06,-49.25,6:50:13
-2.81,1.42,9.33,-13.63,6.19,-0.06,-12.25,-3.5,-50,6:50:13
-2.79,1.21,9.3,16.69,2.56,0.12,-11.19,-2.25,-51.06,6:50:14
-2.74,2.08,9,-11.81,-6.44,0.63,-11.19,-6,-50,6:50:14
-2.65,1.96,9.22,2.25,-3.31,1.44,-10.38,-4.88,-50.38,6:50:14
-2.5,2.04,9.15,3.38,-2.69,0.94,-10.5,-4.88,-50.38,6:50:14
-2.52,2.17,9.25,1.12,-4,0.63,-11.56,-4.88,-49.56,6:50:14
-2.43,1.96,9.08,-1.63,-1.94,0.12,-11.56,-5.56,-50,6:50:14
-2.47,2.19,9.08,-2.31,-1.37,0.06,-11.56,-5.19,-50,6:50:14
-2.4,2.24,9.36,-1.56,-1.75,0.56,-12,-5.56,-48.38,6:50:15
-2.26,2.05,9.33,-3.81,-1.37,-1,-12.75,-4.5,-49.56,6:50:15
-2.31,2,9.24,-1.25,0.5,-0.56,-13.06,-4.5,-49.25,6:50:15
-2.39,1.98,9.24,-1.69,0.75,-0.44,-12.38,-4.06,-49.25,6:50:15
-2.4,1.93,9.16,-1.12,0,-0.25,-12.75,-4.88,-50,6:50:15
-2.39,2.03,9.29,-0.37,0.31,0.06,-12.38,-4.5,-49.56,6:50:15
-2.38,1.97,9.21,-1.31,-0.5,-0.06,-12.75,-4.19,-50,6:50:16
-2.4,1.92,9.26,0.88,0.44,-0.19,-12,-4.19,-50.38,6:50:16
-2.4,1.96,9.29,0.31,0.63,-0.12,-12.38,-3.75,-50,6:50:16
-2.35,1.91,9.2,-0.81,-0.75,0.19,-12.38,-4.19,-49.19,6:50:16
-2.44,1.97,9.28,-0.31,-0.44,-0.06,-12.38,-5,-50.38,6:50:16
-2.39,1.94,9.24,-0.31,-0.12,-0.06,-11.56,-4.19,-49.56,6:50:16
-2.39,1.93,9.23,-0.06,-0.19,-0.06,-12,-3.75,-50.75,6:50:17
-2.38,1.93,9.26,-0.19,-0.25,0,-12.38,-4.56,-48.38,6:50:17
-2.37,1.93,9.25,-0.06,-0.37,-0.06,-12.38,-3.75,-50.38,6:50:17
-2.41,1.94,9.26,-0.06,-0.19,0.12,-13.06,-4.19,-50.38,6:50:17
-2.4,1.94,9.28,0.06,0.06,-0.12,-13.06,-4.56,-50.38,6:50:17
-2.38,1.91,9.22,-0.31,0.06,-0.12,-12.75,-4.56,-50.38,6:50:17
-2.37,1.94,9.25,0.06,0.06,0.06,-12.38,-4.56,-50,6:50:17
-2.38,1.92,9.24,-0.12,0,0,-12,-4.56,-48.75,6:50:18
-2.42,1.92,9.27,0.12,-0.06,0,-12.69,-5.25,-49.56,6:50:18
-2.38,1.91,9.25,0.06,0,0.06,-12.75,-4.56,-50,6:50:18
-2.38,1.92,9.24,0.06,0,0,-12,-4.19,-50.38,6:50:18
-2.39,1.93,9.28,0.06,0.19,0,-13.06,-3.5,-49.56,6:50:18
-2.37,1.91,9.24,0.25,0.12,0.06,-12.38,-4.19,-50.75,6:50:18
-2.41,1.93,9.25,0.12,-0.19,0.06,-12.38,-4.19,-51.5,6:50:19
-2.39,1.92,9.26,0.12,-0.12,0.19,-11.56,-4.19,-50,6:50:19
-2.37,1.94,9.27,0.25,-0.25,0,-12.38,-4.19,-49.56,6:50:19
-2.39,1.92,9.28,0.06,0,0,-12.38,-4.56,-49.19,6:50:19
-2.38,1.93,9.25,0,0,0.06,-12.75,-4.19,-49.56,6:50:19
-2.4,1.93,9.25,0.12,0,0.12,-12.75,-3.75,-50,6:50:19
-2.4,1.92,9.27,0.06,0,0,-12,-5,-49.56,6:50:20
-2.37,1.91,9.27,-0.25,-0.06,0,-12,-5,-50.75,6:50:20
-2.39,1.92,9.25,-0.06,-0.25,0.06,-12,-4.56,-50,6:50:20
-2.38,1.91,9.26,-0.12,-0.19,0,-13.06,-5,-48.75,6:50:20
-2.4,1.92,9.27,0,-0.12,0.06,-12.75,-4.19,-50,6:50:20
-2.38,1.91,9.25,0,0.06,0,-12,-5,-49.56,6:50:20
-2.39,1.89,9.27,-0.06,0,0,-12.75,-5.25,-49.56,6:50:21
-2.38,1.94,9.25,0.12,-0.06,0.19,-12.38,-4.56,-49.19,6:50:21
-2.37,1.91,9.22,0.06,0.12,0,-12.38,-3.5,-49.56,6:50:21
-2.41,1.91,9.26,-0.06,0,0,-12.75,-4.19,-50.38,6:50:21
-2.38,1.92,9.24,0.06,0.06,0,-12.38,-4.56,-50.38,6:50:21
-2.38,1.9,9.26,0.12,-0.06,0.06,-12.38,-4.56,-50.38,6:50:21
-2.39,1.92,9.24,0,-0.06,-0.06,-12.38,-4.19,-50.75,6:50:21
-2.38,1.91,9.23,-0.06,0.06,0,-12.38,-3.5,-49.56,6:50:22
-2.39,1.92,9.24,-0.06,-0.06,0.06,-13.75,-4.56,-50.38,6:50:22
-2.37,1.92,9.26,-0.06,-0.19,0.06,-12,-4.19,-50.38,6:50:22
-2.37,1.92,9.28,0,-0.06,0.12,-13.06,-3.75,-50.38,6:50:22
-2.37,1.91,9.23,-0.12,-0.06,0,-12,-3.75,-50,6:50:22
-2.38,1.92,9.24,0.06,-0.06,-0.06,-12.38,-3.75,-50,6:50:22
-2.4,1.93,9.24,0.12,0.12,0,-12.38,-4.19,-50.38,6:50:23
-2.39,1.9,9.27,0.19,0.06,0.06,-12.75,-3.75,-49.56,6:50:23
-2.39,1.92,9.26,0.12,0.06,-0.06,-12.38,-5.25,-50.38,6:50:23
-2.38,1.92,9.24,0.06,-0.06,0,-12,-4.19,-49.19,6:50:23
-2.4,1.92,9.23,0,0.06,-0.06,-12.75,-4.19,-48.75,6:50:23
-2.38,1.92,9.25,0.06,-0.06,0,-12.75,-3.75,-50,6:50:23
-2.38,1.92,9.28,0,-0.06,0.06,-12.75,-3.75,-49.56,6:50:24
-2.38,1.91,9.28,-0.12,0.12,-0.06,-12,-5,-49.56,6:50:24
-2.39,1.93,9.24,0,0.12,0,-12.75,-3.75,-50,6:50:24
-2.38,1.92,9.23,0.06,0.06,0,-12.69,-4.56,-49.88,6:50:24
-2.38,1.92,9.24,0.19,-0.06,-0.06,-12.38,-3.75,-50.75,6:50:24
-2.37,1.91,9.24,0.06,0.12,0.06,-12.69,-3.5,-49.88,6:50:24
-2.36,1.83,9.22,0.37,0.81,-0.06,-12,-3.75,-50.38,6:50:25
-2.4,1.88,9.21,-0.44,1.94,-0.37,-12.38,-4.56,-50,6:50:25
-2.4,1.98,9.19,0.56,0.75,-0.69,-12.38,-4.19,-49.56,6:50:25
-2.51,2,9.18,1.31,3.44,-1,-11.56,-5.25,-50,6:50:25
-2.7,2.1,9.2,0.75,3.88,-1,-11.25,-5,-49.56,6:50:25
-2.83,2.14,9.13,1.06,3.44,-0.56,-10.5,-5.69,-48.75,6:50:25
-2.8,2.07,9.13,-0.19,0.81,-0.44,-9.75,-6.06,-50.38,6:50:25
-2.89,2.11,9.14,0.94,2.44,-0.44,-9.75,-6.5,-51.06,6:50:26
-2.82,2.13,9.07,5.38,1.94,1,-10.06,-5.69,-51.06,6:50:26
-2.82,2.16,9.18,-0.69,3.06,-0.06,-10.5,-5.69,-50.75,6:50:26
-3.29,2.24,9.01,0.5,4.75,0.25,-9,-5.69,-49.56,6:50:26
-3,2.1,9.05,-2.44,-0.19,-1.31,-9.75,-6.06,-51.06,6:50:26
-3.1,1.93,9.07,-3.31,-2.31,0.44,-8.56,-5.25,-49.56,6:50:26
-3.05,1.91,8.99,-2.31,0,0.25,-9.38,-4.56,-51.06,6:50:27
-3.21,1.67,9.07,-7.25,0.06,-0.56,-9,-4.56,-51.06,6:50:27
-2.84,1.93,9.26,-5.13,1.63,-2.5,-9,-4.19,-50,6:50:27
-3,1.4,9.14,-8.75,8.06,-2.56,-9.38,-3.06,-50.38,6:50:27
-3.77,1.47,9,3.69,7.69,-0.12,-8.25,-3.38,-51.56,6:50:27
-4.5,1.71,5.78,-0.69,-5.56,-0.37,-7.06,-3.06,-50.75,6:50:27
-3.19,0.62,8.98,-22.31,-56.06,0,-9,-1.56,-50.38,6:50:28
0.89,0.49,8.64,-75.56,-54.19,9.81,-18.69,3,-48.06,6:50:28
-1.29,-2.68,9.75,-42.88,5.88,-9.94,-21.25,10.75,-45.88,6:50:28
-0.75,-1.39,9.18,-2.06,0.63,-0.06,-22,11.75,-45,6:50:28
-0.81,-1.53,9.6,1.56,0.12,-0.44,-21.25,12.56,-44.88,6:50:28
-0.79,-1.61,9.54,4.88,1.69,-0.19,-21.56,12.75,-45.69,6:50:28
-0.85,-1.7,9.43,-3.81,-0.31,-0.63,-21.56,12.75,-46.06,6:50:29
-0.79,-1.6,9.57,0.44,-0.06,-0.5,-22,12.06,-45.25,6:50:29
-0.78,-1.58,9.51,0.5,0,-0.44,-22,12.5,-46.5,6:50:29
-0.8,-1.58,9.55,-0.06,-0.19,-0.31,-21.56,12.5,-46.06,6:50:29
-0.97,-0.56,9.45,66.19,7.38,-2,-21.56,11.25,-46.5,6:50:29
-0.52,0,9.79,51.69,12.13,-51.75,-21.56,7.56,-46,6:50:29
-1.58,-0.41,9.19,5.25,2.19,-29.44,-21.19,0.06,-46.69,6:50:29
-0.72,-0.77,9.77,-46.19,-14.88,-3.31,-22.69,-1,-47.06,6:50:30
-0.43,-1.05,9.65,-12.94,-10.81,0.88,-24.87,3.5,-46.75,6:50:30
-0.43,-1.22,9.52,2.13,1.63,0,-24.87,5.69,-46.69,6:50:30
-0.38,-1.28,9.66,-1.19,-0.94,-0.19,-24.87,4.56,-46.38,6:50:30
-0.34,-1.28,9.64,-1.5,-0.5,-0.12,-24.87,4.56,-45.88,6:50:30
-0.34,-1.31,9.63,-1,-0.63,-0.06,-24.87,5.69,-46.69,6:50:30
-0.34,-1.33,9.66,-0.56,-0.25,-0.12,-24.5,5.38,-46.25,6:50:31
-0.32,-1.32,9.63,-0.31,-0.19,-0.06,-24.87,5,-45.19,6:50:31
-0.33,-1.34,9.62,-0.31,-0.25,0.12,-24.87,5.69,-45.88,6:50:31
-0.33,-1.34,9.64,-0.06,-0.06,-0.12,-24.87,4.56,-45.88,6:50:31
-0.33,-1.34,9.61,0.06,0,0.06,-24.19,5,-45.88,6:50:31
-0.33,-1.34,9.65,-0.12,-0.12,0,-25.69,5.38,-47.5,6:50:31
-0.32,-1.35,9.63,0.06,0,-0.06,-24.87,5.38,-46.69,6:50:32
-0.32,-1.35,9.62,-0.06,0,-0.06,-24.5,5.69,-47.5,6:50:32
-0.34,-1.34,9.66,0,0,-0.06,-25.25,5.38,-47.06,6:50:32
-0.31,-1.36,9.61,0,0.12,-0.12,-24.19,5.38,-47.88,6:50:32
-0.32,-1.36,9.63,-0.06,-0.06,0.06,-24.87,5,-46.69,6:50:32
-0.31,-1.36,9.63,0.06,-0.19,0.06,-25.25,6.06,-46.25,6:50:32
-0.32,-1.38,9.64,0.06,0.06,0,-24.5,5.69,-47.5,6:50:33
-0.31,-1.36,9.61,0,-0.12,0.12,-24.5,5.69,-46.25,6:50:33
-0.34,-1.36,9.6,0,0.06,0,-24.87,5.69,-46.69,6:50:33
-0.31,-1.35,9.64,0,0.06,0,-24.87,5,-45.88,6:50:33
-0.33,-1.38,9.67,0,0.06,0.06,-25.25,5.69,-46,6:50:33
-0.3,-1.35,9.6,-0.19,0,-0.12,-24.5,6.06,-46.69,6:50:33
-0.32,-1.39,9.62,-0.06,-0.06,0.12,-25.25,5.69,-46.69,6:50:33
-0.32,-1.38,9.63,0.06,0,0.06,-24.87,6.06,-46.69,6:50:34
-0.33,-1.37,9.65,0.06,0,-0.06,-24.87,5.69,-45.88,6:50:34
-0.32,-1.37,9.6,0,-0.06,0.06,-24.87,5,-46.69,6:50:34
-0.32,-1.39,9.63,0,0.06,0.12,-24.5,5.38,-46.25,6:50:34
-0.32,-1.37,9.64,0.06,0,0,-24.19,4.25,-46.25,6:50:34
-0.32,-1.4,9.62,-0.06,0.12,-0.06,-24.5,5.69,-47.06,6:50:34
-0.32,-1.38,9.64,-0.06,0.06,0.06,-24.87,4.56,-46.38,6:50:35
-0.3,-1.4,9.62,0.06,0.12,-0.12,-24.19,5.38,-45.88,6:50:35
-0.33,-1.39,9.61,-0.06,0.12,-0.12,-24.87,5.38,-47.5,6:50:35
-0.32,-1.4,9.63,0,0,0,-24.87,4.25,-45.56,6:50:35
-0.3,-1.39,9.64,0.06,0.06,0.06,-24.87,5.69,-46.38,6:50:35
-0.31,-1.42,9.64,-0.06,0,0,-24.87,5.38,-46.69,6:50:35
